3.36E-01	8.29E-01	4.42E-01	7.24E-01	4.78E-01	5.97E-01	1.23E-01	7.84E-01	6.13E-01	9.57E-01	4.73E-01	6.23E-01	4.07E-01	9.895332455635070801e-01 1.510122269392013550e-01 4.791419208049774170e-01 6.557289958000183105e-01 8.325488567352294922e-01 4.304512739181518555e-01 5.818913578987121582e-01 4.475630223751068115e-01 1.094564199447631836e+00 2.600262463092803955e-01 2.327452301979064941e-01 4.942691922187805176e-01 -5.300714634358882904e-03 3.841262161731719971e-01 1.453236639499664307e-01
2.60E-01	4.65E-01	2.41E-01	7.02E-01	2.71E-01	5.98E-01	7.81E-01	6.73E-01	5.22E-01	2.44E-01	4.51E-01	4.59E-01	3.55E-01	6.570910215377807617e-01 6.448453664779663086e-01 6.119377613067626953e-01 4.116627573966979980e-01 4.950737059116363525e-01 3.200396299362182617e-01 4.276936948299407959e-01 6.700933575630187988e-01 2.312585264444351196e-01 7.903487682342529297e-01 4.473559856414794922e-01 6.354129314422607422e-01 5.442914366722106934e-01 3.411923646926879883e-01 1.766373217105865479e-01
8.02E-01	5.67E-01	7.74E-01	3.34E-01	8.91E-01	4.35E-01	6.60E-01	5.74E-01	4.39E-01	6.16E-01	9.10E-01	6.19E-01	7.18E-01	6.477251052856445312e-01 6.866633296012878418e-01 3.202733099460601807e-01 9.966517686843872070e-01 6.913886666297912598e-01 3.143179118633270264e-01 9.760182499885559082e-01 6.703292131423950195e-01 7.799938917160034180e-01 3.910863697528839111e-01 5.114234685897827148e-01 7.490635514259338379e-01 2.947749793529510498e-01 7.893434166908264160e-01 1.046212792396545410e+00
2.69E-01	5.33E-01	7.85E-01	6.71E-01	7.10E-01	1.01E+00	2.46E-01	7.01E-01	7.78E-01	5.87E-01	7.39E-01	7.32E-01	5.84E-01	7.925842404365539551e-01 7.090456485748291016e-01 8.299586772918701172e-01 3.015793263912200928e-01 7.130604982376098633e-01 8.408686518669128418e-01 4.600226283073425293e-01 1.267288923263549805e-01 4.413495659828186035e-01 2.732970118522644043e-01 5.957262516021728516e-01 1.517731845378875732e-01 5.614711046218872070e-01 5.674572587013244629e-01 1.991916745901107788e-01
7.48E-01	8.22E-01	3.48E-01	7.04E-01	4.49E-01	4.92E-01	1.01E+00	7.46E-01	5.81E-01	4.83E-01	4.27E-01	7.19E-01	7.28E-01	4.978699386119842529e-01 6.939401626586914062e-01 6.078319549560546875e-01 6.717734336853027344e-01 5.236535668373107910e-01 3.201135620474815369e-02 6.491613984107971191e-01 8.916612267494201660e-01 7.718412876129150391e-01 4.716083109378814697e-01 4.805095195770263672e-01 6.568420529365539551e-01 1.958083808422088623e-01 3.709146380424499512e-01 7.764260172843933105e-01
5.78E-01	1.91E-01	3.99E-01	7.10E-01	8.19E-02	6.92E-01	-1.17E+00	1 4.022695720195770264e-0	1 7.328577637672424316e-0	1 4.323719739913940430e-0	1 4.804644584655761719e-0	1 4.881240725517272949e-0	1 5.126978754997253418e-0	1 3.851700425148010254e-01 4.488160014152526855e-01 2.052307873964309692e-01 2.814291119575500488e-01 4.112323224544525146e-01 5.938593149185180664e-01 1.453871745616197586e-02 2.456799596548080444e-01 1.965823024511337280e-01 6.966443657875061035e-01 2.705536782741546631e-01 6.679996252059936523e-01 9.870699048042297363e-01 9.316005110740661621e-01 6.711979508399963379e-01
3.85E-01	5.79E-01	7.08E-01	1.22E-02	8.57E-01	1.70E-01	8.97E-01	2.47E-01	2.67E-01	5.72E-01	5.17E-01	5.47E-01	6.33E-01	5.420563220977783203e-01 6.538625359535217285e-01 7.102617025375366211e-01 5.648708343505859375e-01 2.763326168060302734e-01 7.479045987129211426e-01 5.421122312545776367e-01 3.617686033248901367e-01 8.783969879150390625e-01 5.143386721611022949e-01 9.844221472740173340e-01 9.891821742057800293e-01 4.047859311103820801e-01 7.280717045068740845e-02 3.499781191349029541e-01
4.09E-01	7.08E-01	2.80E-01	8.70E-01	4.00E-01	7.16E-01	5.72E-01	9.84E-01	8.08E-01	8.20E-01	7.03E-01	5.76E-01	8.42E-01	4.526779651641845703e-01 3.144926428794860840e-01 2.632246613502502441e-01 4.329740703105926514e-01 4.254383444786071777e-01 3.399758338928222656e-01 5.456846952438354492e-01 3.675971329212188721e-01 2.820390462875366211e-01 5.537375211715698242e-01 4.079055413603782654e-02 3.083891868591308594e-01 2.074377089738845825e-01 8.480221033096313477e-01 7.158550024032592773e-01
5.96E-01	4.56E-01	6.34E-01	4.43E-01	8.56E-01	3.82E-01	5.93E-01	3.19E-01	4.75E-01	3.92E-01	6.27E-01	2.82E-01	7.49E-01	2.899636924266815186e-01 9.554408788681030273e-01 5.993662476539611816e-01 4.765515327453613281e-01 4.653944373130798340e-01 1.635445356369018555e-01 5.977931022644042969e-01 1.243834421038627625e-01 5.387062430381774902e-01 2.044359594583511353e-01 1.914368420839309692e-01 4.426832795143127441e-01 3.546112477779388428e-01 3.726843595504760742e-01 3.059321641921997070e-01
6.16E-01	3.82E-01	7.68E-01	5.51E-01	2.68E-01	4.93E-01	7.68E-01	6.69E-01	4.15E-01	6.37E-01	4.74E-01	2.44E-01	3.93E-01	4.082437157630920410e-01 9.123440086841583252e-02 2.133666872978210449e-01 4.007706344127655029e-01 4.638266861438751221e-01 1.600330173969268799e-01 4.406985938549041748e-01 2.371675521135330200e-01 1.722427606582641602e-01 4.251058697700500488e-01 8.118796348571777344e-01 5.393652915954589844e-01 5.774726271629333496e-01 6.104261875152587891e-01 5.228792428970336914e-01
